target_id,target_title,citation,classification,justification,next_step
A.2.2,AI policy,"ISO/IEC 42001:2023, Annex A, Control A.2.2",covered,"Covered by evidence: policies/ai-policy-2026-Q1.md, board-meeting-minutes-2026-01-17.pdf.",Continue routine monitoring.
A.2.3,Alignment with other organizational policies,"ISO/IEC 42001:2023, Annex A, Control A.2.3",covered,AI policy is an annex of the enterprise information-security policy; cross-references reviewed 2026-Q1.,Continue routine monitoring.
A.2.4,Review of the AI policy,"ISO/IEC 42001:2023, Annex A, Control A.2.4",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.3.2,AI roles and responsibilities,"ISO/IEC 42001:2023, Annex A, Control A.3.2",covered,"Covered by evidence: rasci/ai-governance-rasci-2026-Q1.xlsx, jd/ai-governance-lead.pdf.",Continue routine monitoring.
A.3.3,Reporting of concerns,"ISO/IEC 42001:2023, Annex A, Control A.3.3",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.4.2,Resource documentation,"ISO/IEC 42001:2023, Annex A, Control A.4.2",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.4.3,Data resources,"ISO/IEC 42001:2023, Annex A, Control A.4.3",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.4.4,Tooling resources,"ISO/IEC 42001:2023, Annex A, Control A.4.4",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.4.5,System and computing resources,"ISO/IEC 42001:2023, Annex A, Control A.4.5",not-applicable,"Organization is a deployer, not a provider, for both inventoried AI systems. Supplier-facing Annex A controls addressed via vendor-management track.",None; control out of scope.
A.4.6,Human resources,"ISO/IEC 42001:2023, Annex A, Control A.4.6",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.5.2,AI system impact assessment process,"ISO/IEC 42001:2023, Annex A, Control A.5.2",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.5.3,Documentation of AI system impact assessments,"ISO/IEC 42001:2023, Annex A, Control A.5.3",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.5.4,Assessing AI system impact on individuals or groups,"ISO/IEC 42001:2023, Annex A, Control A.5.4",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.5.5,Assessing societal impacts of AI systems,"ISO/IEC 42001:2023, Annex A, Control A.5.5",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.6.1.2,Objectives for responsible development of AI systems,"ISO/IEC 42001:2023, Annex A, Control A.6.1.2",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
